Username,Password,Registration_Date,Num_of_Art_Edited,First_Name,Last_Name,Salt
ZgM&%xdPV/Y\B*IgaP*Z#fjW*Nm,#eKvheO&KIV$VhdP*x/NsV!!\yVa,3/12/1990,9,Bvlraywnhqoxma,Nfhncgyvsckvjmf,4:57:45
/^^NtfN$O!p&j%v$g!HA,m/DmOMaAiWXOeKVJbfot*Ak##,4/18/1956,48,Mtegwit,Ektqvvbjcqctts,0:16:15
Fs&@li%#Ovn&&P%$&#q^^w*Po,#e!Exzu^z,7/18/1982,17,Hqohkfgq,Tunphoxgtbbob,0:25:44
uvdXw,S#/uKO#v&$/BX!pA&zcl$^,9/7/1980,31,Nqvfjylvkkbr,Ergeftwboqcqw,8:13:36
\!*Dl!QY^pHmenjH/XBrNL,!t$jNL!@rF$RbX@^BL!P*%&*q!%m/S,4/6/1956,52,Dhugdpgxe,Hknkntsbucfpa,23:51:29
zAE*a@&#ub!!/*z,!#!j&bF@X@ZXlh&hC/aZQy^Ik\,7/19/1966,142,Pwmpofa,Weybqpxly,11:42:2
@mIlDJ$#uVbs/@E%XM^toq$X,&%@h$Z$UY^J,4/14/1966,125,Qcnlhoonvdawpa,Ivfprtcr,0:17:3
pKD\KXhE,BUHb@pFM/P^X/%SEbgjvjf,9/5/1961,36,Ubhytrpyiw,Xmmbrqbhrnvy,23:22:8
\/C&#An,Qg$n@*dLM\%,9/1/1954,22,Fkelehgqcdproa,Ofwefaqeobomqoh,14:1:33
K*SCgE\*&Y\c$UD!Thw#j^Z%^X&,^HD$JltnxbPR$A,9/28/1966,8,Temftlslm,Fukdlkyxprg,21:40:10
tWYnvVapstFX%C@PeMHxn&*&o\,A^H&Yj$^tLk,1/14/1996,7,Jmltbsdacwwf,Cicnmdnytn,3:5:0
%%Gws@t&!KIER,Y@%hW$WD/xT@N@,7/8/1950,82,Juhqdutrutpfey,Jfbseyhgvtji,8:22:11
wdGgaR^y,sRo&/Lc@&x%hH,2/3/1974,96,Xsujjhftw,Ctcbfuauw,12:15:6
$&Wg!^RA,lJXY%jcg*nE,2/14/1986,110,Zcsyurrdendmlaa,Bhkwcpokliscoaw,7:17:23
\Qyg$qQdMqEy&K^ha/$Ds\PjAI,o%^VXHYGY*#kRYCw/@JMb,3/1/1996,122,Gunukafbasg,Cbgstapflckb,14:2:34
D/%A,h@$bw/UAHpqo,7/8/1964,113,Lhmfygwnelgxi,Dkrpdo,21:12:24
a\gR$&!$Zstv/^n,*BtA%d!%dm*$n/i*/S\@WYI$s,6/6/1989,8,Lptrda,Ghexqljk,18:33:15
F#He\j*@E,E&#KUYH\MI&L&#tvM*i,2/15/1956,30,Nhdnobyasioy,Uxexrmr,19:37:7
KHHIy\*n%QQmt,c@*/da/%%wF^qp#&%*G#$Ro,11/13/1977,29,Ijvfyhjhsy,Zeucoxkj,12:14:34
\v\RpnbW!^@#S&I/NVWw,^S^yIGdeUl$jIXuF*nh,12/4/1979,50,Hsrrru,Ihpdubkvwjdtk,5:26:20
#%AaU,*wuGcHZjr^/Zd@eHBq@JH@SIF,8/26/1994,81,Cxdtjvfawxeqeq,Vchwexlyn,13:25:21
!jjrPuOgWQ\eq\*$$s,kvK\Kx$QO%T,4/4/1966,0,Jsnuqpjrg,Woiebwewdrqhl,14:14:49
loK^*#ndnTYG@\a$&ic%nO*Q*#KrXi,/rs&cE*oZEX$L%,1/14/1985,0,Ctfxnkbxkpjb,Hyxpivfkhnsfby,11:56:36
w^^\H!k\y^w\/tdDig$NzVZF,pmgS$&C&GrDFdpEA#HFmTp*,5/10/1993,95,Ivnocjuapbfcj,Qpkfyfobqjlaq,3:27:17
&$%$sv,V*#*zdueNAFI$nS%GRUJ$h,12/28/1992,46,Yqlbbi,Ivlefcovhx,3:31:2
uLYOBPG/iuF$ut!H\\,LANCigsvl*%/g%y,8/16/1988,90,Vbosgvjnflw,Vdqsgaukdmrovp,23:43:30
f#*Fma^MT$@\^#d/S@Zx//iW@%G#,B\#$##MJJmQapJzqoE,1/17/1989,60,Iupvdgqep,Vcgefb,22:35:23
$&NYy%h,YNCc!dUxt*y*TOpVX$X$GWCDn\,5/5/1986,0,Zbiijjomuiatic,Adlinsahseogtwk,2:6:1
A%Hvl@%Il&\o!R,i&%EL^nbw&w/%$/*DWb!,12/26/1983,72,Ubprav,Nfvfcowovjtro,20:26:16
EvU^TTKW/&W@B!FVAX\GowmwYYpu&v,#Z$V&*i!!UuOaB$^APoigO,1/18/1976,12,Mofdtj,Zoisrynorscy,4:58:46
/*^z^L$Y#Bg^CDe*B^*fI#S$@m,*nS@^^qZOYZoIs@G#o&&O**Ia^z$s@,3/16/1975,195,Leqnasgvmccifbj,Ynodxr,20:39:14
V/i#$Mn*#K!F,F\i$PZ@o/F&@^HY$/auY/L/\*K*,4/19/1951,14,Adndabljudwfcxq,Uuiatqwaifrcvs,17:20:10
h\Wkb^KO\rp!#$AV#Ft#hy#swY@^,gIE!bW$v&#@T%*rh,5/16/1981,49,Aikjcfl,Hecsrjhpjxdcx,19:3:59
zc!%D\,S&w%q!hP,5/4/1970,51,Vvuvtcmxlxl,Ntlcmiiwmyv,15:33:48
OrkpBAw@cQu##s\SZgb$BKHmNQ#yr,fxOELfB@yzl#!sYvI^oQhw*u^Y,10/30/1969,0,Jpqfdmjg,Aaaivqkbokemum,7:25:49
*pTo/RC%Kshch$,uBNCg&Ac/j@PdzM,12/14/1953,0,Tjvflxvwj,Ikplbuubwjrs,9:30:1
IkV&fMgr$b&Mz,YgW\gi$YhO,1/13/1958,82,Ikmcgiuok,Rdrwghn,19:37:29
\Z%^Gm\HATEpIi^,/lc/qIk&,11/12/1959,125,Utipst,Phioqqitbj,22:49:40
iEXJOX\&\X%,U\V*sXm\@*J^d*#Oqo\L#pfSi,3/9/1978,0,Hyohqgsleifgvqt,Vtlipt,16:56:26
^ij\nh*WXi$wv/XVoArRdC,$/#l*w^DVs,2/17/1976,113,Sfqaicktfge,Bmdnquopxpomi,7:24:31
FIVQI*Qx^xY&*^jPzLd,%/!%UYvrAK%QwmCWs%Slj&&a*D/\,2/12/1997,91,Epeafydlydkb,Dcrtbrbxfkuwk,5:9:37
k$Gk/!/mQvo$x$F$g^^&%EXELQ!\wX,!C^^pu#BtBMp^!%$/\,10/31/1953,0,Cwdliifif,Tafdebyeg,4:37:48
x%HWX/%qGc,rOzlo/Vc%AXofJTC$EUlC%#m/d!MLi,1/1/1976,10,Mocdveifiqiqhpf,Djrwivqwn,23:20:0
ep/Q@bb#U&J^amCzGjZhpmu$wT@,Gz$!cZ&&\p&QeXJLuG,8/11/1967,32,Nrwpprjobtpewu,Iyyfqxqivpqq,3:10:26
Dp@^mr&F^oimM^Atd^rd!h,hp^/Dg$!^A*v!b#PyulxiKt,6/10/1979,0,Jxbshjpjb,Rcnjewjdr,10:52:48
IeJm/S@kD*p*k\RMJ*@,#*o/%Xy&@SR\qC,5/31/1964,62,Lknrcdw,Zkalafpn,15:39:0
GX\!&#KnhcFLYs/bghR,$r^$&BFpJg&y^dgkY*zxR#x^L&p,2/6/1986,104,Pgtyfc,Elvmpbqrlkcky,15:22:38
Jt^DADDCF,fK^\PqF@%^,1/22/1962,11,Ecdcfnpy,Ktivffjwncqmj,23:17:53
dHeGmI/OjIcfqHK!Y&#*,rK%Zs*!TiZG#pFMivB,9/14/1974,0,Hxcapxyjxvr,Aivkndy,19:13:28
jriX/D!#%,*X!a\G^gQ/CF,6/7/1960,91,Ocuwhmmifejqq,Wwsmpnb,20:6:42
!!T!,st@V/@uWsOZe/f\b\wg!U,12/10/1997,0,Qdjdmmwcmwrlk,Mguabblsfuwiafj,17:35:1
&$%YE@HnaJRz,!wm^G/KDIDLaITZ$N\wZzxpTkb^jMY,11/2/1959,72,Llhcxiigncsrets,Lygbxrm,16:29:19
fuFFJ#uELQyieVsb&h!$lsy@,&%B@EoMH*C!%nnq,8/10/1951,9,Rugtpwdrljojgue,Innokwsvwlnev,18:21:45
T!XS%eK,%PjxbMQt/H^!,11/1/1959,28,Bwkyiqgduxtoy,Ivgsdeexh,7:42:7
$#Rzm%CFJ&\%Xld/@syHxLh,o$SZKuI$O\s%%CMpG#Xm%,6/6/1987,0,Xpjwdeftddayj,Bicfbsqr,0:47:46
be^/\&HlAq^MK^\/$wK^,Zx#iU/^%rK^@&!N&P,9/15/1978,4,Xxwakgvt,Fqrjeomqau,19:47:27
Fn@HV\%%hz@K&ra\N/%kMv,$Mj#D#$i,6/14/1989,38,Tajvoamgjwgxc,Pjpldbxkftqfkqr,0:57:7
Fgyp!$dn*Fnbr/V/wy&Ch,qvBeF@/Ac!\xJ/\!,3/29/1963,133,Jmgaheqlt,Yvyxejetfgs,22:28:35
UxB$w!Xe&#y@R#Dy@H@%j!@Gh&sPb,^Rnsup#mKK,8/5/1977,47,Wmwjtwxrlaf,Vkcapdqiq,5:48:54
b&sS/^zY$abbMqN\,u%$fkl#!R^!#q#@w!C\aQ^Qk&^,6/20/1977,33,Rekcbf,Mhxxngfelas,17:42:47
&QOeFLg/$TI@*Cb*dDH/L&WEEWj,Z!nEH!QMDWD&PeDNb%kNkHTyNE$y,8/10/1988,0,Ahdkgogcca,Mtyqfhma,21:12:50
KTuLik@ORWQBKnSH\RfdLgx,@*Eu\*sxYVA*TKf!%*cQWKIHnAOg,8/24/1956,4,Pbxijxtfghafjld,Hswaitecpknvya,3:41:33
PQ!CCD\%py&cD@uf^W!BJUm@klzxlZ,XKGd\Syg@x/$MHS^jnL%BL\z/,9/8/1963,31,Pjdnicdskjxh,Vwgdoa,11:54:2
hE*IfROHYOXd@x**\b,$LyfhPWB&qACq#W#D^wi,2/8/1999,102,Rohogem,Vyfocwaibtgq,4:19:30
BllBym%BFKd&FNeG,du^%/A/%$%eXtAbaH/,11/18/1969,144,Zbbqnkbqi,Arjowaptfeexo,16:41:41
^LK#/IBg^%zvNx@ZSH/SGF#bue\%R,sh\pfwS&gwi*kXrlu&#,6/24/1978,6,Xqgeerdp,Qxrggvi,11:4:37
\MRNW&\!^OTK&,j/ROtlz%C!jqcQIs!*adRi,8/24/1984,0,Hnottnam,Bjexqaa,20:49:31
B@^\sSE$W@TRbU,^*k**r^SmIWjVT$nZII^r^Au#,4/14/1981,40,Elohrdbrbdh,Rqrhfu,20:50:38
\F#/N@YBTiP&R%P^,fl%RUje%*I^\%#c%zxSPn$f,10/28/1995,105,Yveaxtosq,Xkvhdjunntma,2:36:37
d#th%$$DG@&hWtT$@F\j,pyUTBs%z&&nr$Sr,3/24/1995,17,Lyneayq,Tihsflwmmleoug,13:57:19
FKtdoFMhPCaTAd/s$xB&,*SX%jh!&@,1/10/1987,0,Rtkyuocaksvtpb,Ngbfglteja,14:0:0
je%M#V,EwQB/%nBLTy!@VlN#%@Zi%!,5/23/1961,51,Akutdhle,Fitujjbfkxtwd,4:39:34
XbN*jHP%@%Fw/\*$Q^zs@Dth,LciX\HdTe@k!gfmpWQQ/#OhGmh,5/18/1971,22,Bbdcapoulp,Lpkefennst,22:45:37
\zq$Pi^U,&k#s@o$FKImCr%dlzde//G/XshS,6/11/1999,13,Orrhmrhsivdsp,Vkuxaxyqdirb,11:14:22
PwB@g#ualtQ*spmIUAKO!Im*W,Wd\B\$S#s%/H^tX!,8/1/1972,12,Adqdbkstjghaj,Ykgswcmee,3:8:27
ZMS#rb\S!Y*Llv,#wLyoU#OJGKY*^Q%!!Ll\!%w,8/8/1993,73,Yhbslrkwsbdoncp,Rkarvtsx,23:46:31
DOLi$@%AoInun/Ljm\Wx!oT%YrE!@X,jro$sKbQ*eScK&Gm\FgLI@vD&*i!@,2/19/1956,39,Cyikwq,Rtrhkdvblpioo,9:10:49
u!jLwNCD&HBln&HrJ^*Cr%%dN^,#USV\@#!EKJ,6/1/1999,90,Hkjkuhvsqn,Qnrbdbdyo,3:27:57
*XL%qSA,c@s&y!^\GLal!uki#kCuEL,8/10/1964,0,Agcjao,Bnhswgkesqc,19:45:29
LDb$^Jo\\%*/NeRsf,BL&fMLLg,6/20/1976,147,Xnxbkpfvyj,Fvoqhm,3:58:14
QMjv@ynsBnSerQ!B$f/@/bv/,\^$tSOxw&$RA\!Mrd/t%LJ/,1/31/1974,63,Zfcktnxilink,Nbdosmvcrtot,13:55:52
^$yp*%^&t&%*\/Kq&\Ea#@,soB&%#Dd*aNn$*o,10/13/1994,55,Sxhroseahh,Ifesaemdw,2:31:10
Oaa#q@DL%G%DMnWx%Dt,t!&du^zfEfp&mZ*XnvT!rr!zQL&,6/1/1963,125,Odjsro,Mibdectdp,22:45:26
MZ^o#y\Aq$HP,qd/&Fjk&tffjui@&$,9/15/1988,102,Hggtsma,Gwyxyqt,10:11:32
fdt\//Fw$,yiaS#YeoNzE/!K#B@dPpwIPl^W!j%i,11/18/1994,0,Mghxpvwxeibuao,Wkyidaaoupyfpjf,14:28:10
bz*Wu!FKdGM/HWfIz,SRUXlq/ff*c,8/8/1969,59,Lkmxygygbu,Icfoei,6:2:17
zLxDk!MOSBv\EP^SwqzjFBMLUdaW,sIpwXk#!rt\dU,12/3/1979,0,Dxeolhkydmbf,Uuvsslja,7:20:40
%*@jFYFh*N^M%#mA#D,^!mdkQD$\&,11/27/1984,79,Mwwmsab,Jenbesloeb,0:25:31
%!\\%/ajiO/%f/*,nG\t$sNH%utlU^p#M$fUC&@!p@jin,1/12/1993,129,Nppxqmkfddkiv,Pybiomojsr,10:26:42
dTMgal$&kiFQY&,YQpq%W!s\/,7/11/1992,48,Owpodsojldwqoag,Gjdwsrvnlri,10:40:28
RH@QQi*HTuQi^@/$D!s,#op\CzK\XmqL#AW^@kH*&RWtSGB,8/12/1953,0,Zpfghls,Emykjoovhqhv,9:7:5
&!N*dnlxWVGkvZL,uY*Qqk@KlxPy$Vyb,7/5/1974,97,Kxextuhmsqq,Mrycidnqkc,13:6:8
Tr/$a@EtZ&A^wY!UEZ,ip^ll\@o!xcE@WcH%zXM,4/10/1959,0,Owcmgn,Htbupgqlp,15:45:58
JBeiT\/#BH!@c@^M!ch\A,ywjUgl^tdQiC!c%%VdXM*k^$,3/1/1979,61,Hubsjnukeviog,Mhxpgjaglqo,14:27:44
J!orbDDcuRpGFK&,%bz#tNWUahFy@!b^Ta&C^DZh@ZqZY,7/18/1990,26,Aylabuvpavsik,Yoqeiywxhllvjr,7:51:12
R%P&I$#NkV*^zQcc@X*m,HY&x*X!F,1/30/1964,23,Cmutlkxcuwtdrpr,Entbrenopxlewh,13:24:49
C%*@a,/q%H%m##p,2/21/1968,169,Rwlwapmvttrxa,Ltfuvihtbkidjub,22:24:41
SLb$K/@I^A!ddf@n*K^j/RcXqMnD,TN\S$mu#BrKH*#$FKrOu,11/26/1962,137,Lxsiymf,Roavhehpajgbht,13:11:58
S*!e@&,cUuf!dEUk#%ED,11/13/1984,61,Whjkcydo,Xtskbnj,21:20:14
^y&rwx\YEc\Lg/$&zlbngS*#AFF^$%,ybpyt@!MMp%XT/%xka^X/@yJQY,3/23/1979,70,Dcmgqvaffob,Rmllinphhlvvo,18:40:31
#!#hP%%N$*#,ZOqfM&qex\J@Lq#ifjo,6/1/1968,58,Xoykrqvftqlld,Fxltxwjvetcg,5:26:26
$EV^,#Hbf^iLGe,5/3/1982,179,Ngbaxgsyelqct,Fdxmwhgtpfwdyf,10:28:49
#/@Qal/v,TA*nSjHZahrzsw*\^KTJ,9/17/1988,10,Tykdtvctfyxwre,Qrrrjxenbkmu,14:18:8
k\OA$No!$HM*r!!AP**l&/L#MI,&QPyG^u#M/m$m*sU^KdX,2/15/1971,7,Ngrbessyykvk,Duaqhvn,17:22:9
@@@PLqwwX%,Q\$vQAAxEc&^z,2/17/1955,0,Bkhsjkrqgifaj,Ydmejjqudhw,3:13:27
CjJ#TjRa!Fj*RRM@**pYCmzCnU*Rw,$esdiSuy@$tZJa*^&Tp$P$ZfEQK!,8/7/1973,123,Ymfubrvrtpaqfbc,Tmhfswhl,9:37:18
Fe%xIVO*os&QLdYALMX#!$wehlDC,y@zLn%hHP,12/20/1963,36,Obohifpiktmdah,Lydlbsobb,0:49:22
O$gd^pcofB,CIXJ&gjS!/Ri%xPn$fUw$KcDANOS,7/26/1965,0,Zfttnbxwswv,Lahayfcbbypv,8:41:15
@Yjc,E$Z!\%G/P,5/21/1985,0,Gdwldwbhf,Yqiwvxdo,23:9:41
x!IHI&\ZbRJ$pWdSRSUjjzM!,XH\^N&&X/#^mpeEKOOxS,11/2/1997,116,Vcayyt,Vsyqkmort,17:43:42
F*!\@ifB^U\iEn%LiWM*ODO,KBByw\iZRZ,10/4/1980,1,Abpuuwtc,Pmgmxbyrxbow,4:57:1
CTNRc\b\egSwa@,^kBWBZTK/f#RSyy%$@Rmt#Eu%*,4/14/1985,177,Uyedmecrlwhyd,Jwmfob,17:48:38
pZ^isMtVM%s,/Gm%rZ$V&JDR#wUBu/#^odRe,10/13/1964,30,Heqowapgngd,Mjjjmsu,8:24:41
G@gJk@qZ^&%X@F*jLa^A!y/N/z^lVK,%%&G#nKkVi&,6/1/1958,79,Jhgdnmij,Ojoruitytyx,16:55:35
z!@fJ^RG$%%Zz/fS,n@z\DCPAh/KegolsOG,7/16/1965,41,Wormtmtpmwwggkt,Ijnlvgt,7:27:51
Gousy$Gh,jCS/w&ii$fH#q&lVeORRdCn,7/7/1980,134,Efxrdj,Wcvgrgukldyjjy,4:51:38
jA&!tyv\w*dHn,FAV\oyJ/$#NB!#Q#@H%!LjPYPD/,1/6/1997,95,Kkbeloqsstg,Kxwlmk,20:39:44
E@\pUt&X/q*i@&,jct%w%aj@,2/14/1970,0,Onsjebpfsk,Zskcuotmh,3:21:30
NjoYmS!vG\MTkfJifUkR\^U,/xEVOw$mgLwr#k,9/20/1954,0,Blxctmxfbrgwqta,Luetwawtc,18:8:39
/&wb@kqC!$Lo#he*%$^,MB&t!ITg,10/3/1954,113,Manldhralok,Pytutgvbrobw,15:30:20
!&O%*G\L^TI@qOd*KkKybuBKWx,*&Lj@Gn%Te#C%OhVT/Ww\N&,6/28/1958,14,Vkooxmvwgcujbah,Ovrkpqrqylqrfs,22:54:21
@g%^G\!#EQaO$vLElOZvw,%gN!dQ\ArrC,10/18/1979,74,Xsuwvhaqyqmuun,Regdeg,12:27:21
$Q!kf/@P,F@j^dTeAVX\i$MM@oV,10/6/1956,0,Mcieqynopuhrbtq,Wwmjcbgijq,10:36:57
l$*$@KH*Qdszv/mMZ\rMPs&IsXf,NSH\mGsK&e/w&Y#^UFe\,9/20/1953,7,Sqawnlsdtptudr,Ablwvqdjr,22:45:42
%#JYzE!vli@p*d&a##vZ$JU$#xmo,!W@#r%%C&J\&oM,8/8/1961,41,Zvlyndqy,Frhajq,9:6:55
sW/t%\hL%c!Etw@%H,R#$/qmb!/uu#/ak/WC!M,6/28/1987,0,Qrxximyn,Nnaerdkukuvrq,3:47:28
eH/fGKH\g,lvhela#Jil*LZ\BGz\#hw,9/18/1970,58,Jrgphy,Pnicpq,11:14:29
P**#*@ptB&HKJTQzej/QkRyJ&%ca*I,iA!pC#oUuiNM,11/9/1978,8,Rweehqje,Eihhtjhns,16:17:53
ZM$@T/!f,NG*!^mGQao$ig,6/17/1993,17,Gjfgbdqrby,Dlnngeygejk,13:4:52
z/MuRmisY%Ib&^/RiszdB,J&H%EJpsk*&gk#v%WMT/w\wj\eK$%^,8/15/1980,0,Qcnrxbfke,Iacnnyjohuk,12:33:4
x^@z^sLNS&Nprs&%@@t^,&w%KEM&It^P\X/JoM!!SP\##sHOW,3/15/1973,183,Ltupinuyq,Nmgtaw,16:44:53
L^q!b,yM\^DBXo#k^\xQ%/N*M^N/f,3/21/1997,0,Emsgvvgbaofhjho,Rpvnjyr,0:53:1
/IYXxIEk$x&Ce,qR/Mw!@FG&,7/3/1995,116,Djdnkmxrq,Mjavdxjclvrl,19:29:20
QJO\/o$Qx%ZE*wyiZ,cYbRa$OUH\hR&r/Jz#RI,1/7/1972,146,Ycmpclsgudw,Jbefryoqiqpu,8:26:30
oj&z%&$#XVcVcJoLfdoDa@t,DV^kAywdr&*soSSZ#xu\X!,11/18/1953,65,Evocgixdbylvi,Gtmbubtgtjrbk,16:10:22
N\&Y\CL%,@Wn@AB^VG*E^eJqWfMtLj#oCU,5/26/1998,25,Kplfstsvxw,Mnvuoituasj,2:32:14
yH#Y^G/&*%toYMzV/l^voh!!,pnOcK@hfHck,6/20/1989,79,Morrild,Oajvbspxnpo,12:44:21
#&/^\#@iBStRJTN%,WyU$%&Igz,12/2/1985,0,Swsoyxbk,Kfwfwr,21:31:59
!MM^V$/ny#^k%G#mEpLsa*tNi^x,&Di$kix\C,8/6/1987,78,Fgkrjvtx,Pwdlwshybqbsccs,8:41:3
Qy*u^Sr,X%BD*ftyQ*^m%POqL!EtTn@es,7/7/1987,18,Bfstjjuqpqkiguf,Ctbxhjskhfglg,11:34:53
zKs/q$ld$%t/Obl@e,zV^yqwvP/tx#u!PV^$lOn&z^E,9/30/1956,167,Vdjuwnddusswame,Vgpxnpoqqqck,3:43:50
OQDX^*TYUKPRY*VWuEt#E,xDw/*Y*@@&f*dfa%#$IIC,5/13/1996,0,Hvnrgaju,Wvqrifx,22:47:13
XseT%X*,@H*LB$U*!rLG@/$Ot$,12/3/1974,59,Ilcrwiyaktljat,Qlujqxts,1:23:32
gPN*,^P@!vBcRu@@*EVwt#E,3/19/1984,67,Ewtgnfpsnbjlx,Garbdr,4:35:5
IO^rPIrHr@k#P@!b,kwq*YHD#&*TDHC*TRti!/$^H,12/31/1998,13,Ervqgwnseks,Qywbsfbd,6:43:15
faXW*P,yo*EG$^bSpX*x#a,8/22/1996,84,Iephvrxh,Bdvdwmlrygliyp,6:3:12
pz$HP$s*!k*Yadk,S$Y^psiKg@bMhy,2/27/1993,65,Whxdkenpyefsi,Zjcxnarj,5:27:37
XYseVhxK%S,\idWLj%&@\Mp,6/5/1989,18,Mqnvwvvos,Tkkifdtwicd,5:3:23
Nq*/%H#cvB$O#YkLx#L$^xSU@&$,JvJsmU^^nRV@,5/17/1987,0,Whmvbi,Elotauaittvdxs,1:18:14
tA/FJ\tv,f\k*w!hgz,6/25/1958,0,Anvhdkgxq,Mvgybdqodro,0:15:33
&cW\UMNzGdUT^Ua#\MpUa@%u&^,%%ZB%/IEF%!,5/1/1972,16,Wnjrhykhhsyguib,Xxlsbdst,13:57:29
^Nozl&x*Ek\Uut#V,#*#C!ycAwg^*!F^,4/8/1995,0,Rryjdbtjm,Lnfmnhgcqkquhaj,10:45:9
AeYdtPS*/KdBHrI$#eCKgi@gyrEc!,ABQr#C^^mDE$Tb\%@T^D#b@/i%s,8/6/1962,143,Pcasxgjop,Bohhsgpyoijsg,7:49:29
qY#&tF/@\@H/*,t#m/\#W*UI^ofivC/EKK^,9/12/1991,46,Oiwrutlnj,Sldxfckt,11:11:7
o@@Vd\KxpJGEjd,\wfESpTM$%cA#Aj&,8/31/1978,42,Xeyffdg,Xbfpeglswkwsql,21:5:31
&!fsvbHFs%R,H%u&Ah$Wznjw$&RK/ua&D$Hfj%TL#,12/21/1991,103,Qxxijsxjlq,Wwqtvuudvklqa,7:50:33
cgx!TuvKJ&RPAqZAATD@*OU\MA^*\t,mDjEzvAVyyw\JHuByX/N&^XvI,12/27/1970,168,Glwdcjo,Qgevehdiuuo,4:25:18
@pKq*GmzpEzmxLi!Q@QDSzp,W!N#^jwdatgYz,6/25/1985,123,Vmemitgo,Xwuqgwuwgwbgrq,6:30:40
JFK^KLRbW&yBDU!^vZI!o*k,#J@e%n@$*WNr#*REy*oLI,5/15/1970,18,Rkgmiptqfc,Ewddohl,19:12:42
gX$P,m$ucfOWtGFqpBGG/ecS*Falm,6/12/1988,95,Ayxltvdtpy,Qapjluryyasl,1:46:31
geDCSerh#S&@&hQ/@,/@%!S^wZ,9/20/1960,13,Gilaxqggucvgf,Fgdqfxhofhomlp,17:44:9
!j#Fkut/GNT*@Ge,&NFXrD/\PxeqWL/FQiZ\/ZX&FEN,2/8/1980,127,Chmqftrihn,Nxnacdkyxtcv,15:14:37
!aWfEHNC$^HX/\$\c#/xjuG&xsQ,FIaq&%Zxo#R*zue#S/*UwQNJIg\,1/2/1962,39,Ganmsfkfgnnwsk,Gcocruxcpkaflcd,6:44:49
o/DjTgD#!@w!j!^mVvOYWUW^HUJO^,se/ZMV%AMIyN,2/24/1995,105,Luhoirqlw,Thpwqav,14:32:1
YwmT!!H*Nt%Y,LfCiN!n/R\kf^w#So@ZZ!O,8/4/1995,13,Itfdlgvlspw,Yatcgjs,0:52:45
/@e!m%%p&J%\X&dWF\j,bmG^l@\@/Aq/P,6/24/1974,130,Vhpwgdjdn,Vrsdfrrjvqw,23:30:37
#H*Jx\KIa^!iE%CB$@yw^,@bFEDnhK$#BaY@D%VHg/mavYEW,10/29/1959,75,Jysangctnoqkva,Savhlrcquqywj,3:1:7
&ygKfU#&!vU!%qjRe!#!D,*$@Fv@!\AEuL,9/23/1953,87,Vdkalshblnyjqy,Qrvhdduggqp,20:52:35
ULNmUy/gvBy^sm%$A&p^&#v@,clo&Wres,5/17/1966,0,Dtwyynnlafuwuot,Zjyornfepimatq,9:25:43
HkqETR,\@NQ#LUq!#@@\,1/27/1980,54,Reavkigenya,Rodljrlpqevdavq,11:36:17
ySDnyu^DI%\*ft#mnW#G/&l!*H!O,tel^AMS!!&Yw@Z,10/19/1999,114,Lbxnbnjvdjm,Acldsbpaoxx,22:21:22
dsipXy#zpi\nozsx/$Ulq,^!%/!Hcl/\&^!o$mNBseM,4/22/1997,107,Oeisrfip,Tckwcnifvxkbkrw,18:35:5
t*/D%$o,*wPZK/Of/yh*ZgOuTBJ,6/22/1952,38,Uulrintcrpavppg,Iyvsmtoux,18:26:10
LM#eg*!PSYanL/pdXFA#&!z,&#sdj^B*%y&L%o^h!Gi!I/P,8/29/1982,34,Zujxlw,Vrhvwwu,3:18:53
^#&b!b!cENzZeCc!WOzQ$taS!La,/f*%pZRiuI/%clv@Y/%c,8/12/1985,47,Xqdptc,Jcydsikchq,11:53:8
xT\Emxy,*cDQf$V@EEA^d#jcWDikw,11/8/1957,20,Htbswuyhses,Nmmwjrgrprqppga,9:44:42
$/Mlybs#hJ*zUy^gPf,%$$N%\vmH#vfXgZ@vua,5/29/1992,54,Poaeobut,Iecjlgebi,1:5:44
f@eMB%#W#eLVGpH!w/nT&!uV&p!,WnTV^p$BB%RQzna%AqfE!w#W!lc$s,6/8/1981,0,Zevhou,Emclhbo,9:9:6
KV/lu,ahu#K#Mdh/XVu#ez!WewJD$NxcPL,11/2/1954,124,Nepfwxgi,Cpglchigwsney,20:51:9
%\#i$lzX\W,ESbYXg&YXCzP,1/16/1976,105,Ghwpkgeeifb,Zqvcwq,1:10:3
F^!@EIFs/M@/,qzhKqiCKeQFQNqYp#jQhRGx,1/20/1996,0,Tsoeccedxeye,Ejclamnef,19:31:4
o*/@eXw#hl^HDhNkF/^tL\@J&@TSi$,MWzYz&vJM&CYRI!a@$A,6/25/1984,111,Britehcloiyy,Lycvgyknfbg,2:0:16
Z/Q^M&CbAh*ZXTe*@esOHJ%,x%ZNVLz!qdm&WoGgOd%z!D\VU/tGc,8/7/1985,0,Yrxwctlpy,Pobkkhew,7:38:41
gRF/C#\X*&nI,%@YL&arh!/YwgpF$JbxR!,3/22/1972,30,Vqsoavlhxhxn,Cceoouruceecvxs,2:29:23
frAyoZYmopP*Z$,$fQd*jR!yX&P#EG,12/10/1974,26,Pnbxudec,Mresuoko,23:29:48
Ko@xi$YhJJ*s\!jfQxJE,y*ee%^t&R,7/6/1997,0,Eddqqcs,Vopfyb,16:33:57
o\CDAXImO!ne^\J@UGZz/Xe$e/s,B!IJln\JkN/\n,12/12/1962,13,Smoibvh,Edgfcndbtofsbk,10:14:42
